,0
9027,3214.2214454732207
4037,-1217.7600597712371
13254,-17417.938404241835
4387,-6053.835257250354
18424,-6717.055782111165
12815,27486.395424861024
351,-5815.817420656178
6779,-12021.625598258306
14587,-16123.506572749393
9380,-9878.018289682332
2954,-2202.9090451138145
8610,-27969.864523560307
11433,8999.265977912903
10084,-3263.642857900202
17501,3873.4818855423227
795,-4733.947862017376
341,5127.087502224654
16962,-15113.59529100091
18655,2260.718437457137
3649,-10064.976893287905
5817,-6086.355101871632
3230,-11584.145595570546
4333,-3813.8228112396464
3433,9755.06301760118
18645,4149.333200118599
11758,-6287.9967426646435
13857,-4217.689452283663
16155,3334.917909909407
10210,7229.50287778713
4475,-5613.250374049232
6490,-13517.558353441847
14370,13548.446427328749
9680,1698.9387982451808
17830,2982.167213046526
5022,-6033.134554726618
2334,-2253.0741580878275
12636,-4234.20322812203
14919,-20311.162178597577
16092,-8836.832097409017
5572,749.5659994530251
18609,-571.4857182068081
16427,45169.55927637464
2235,16241.760153416162
14515,-3293.916579852379
11736,10533.89829521786
9072,10927.06092827818
10605,14775.346557488327
1838,-3444.916579852379
14733,-4909.93975304934
12926,-12643.90761734364
16501,-21148.118814009667
10301,-2198.9954358430405
210,461.56599945302514
2439,-4717.768064838772
16858,10645.014934918912
13520,8248.545399590308
878,-16479.153708748447
4193,2818.6181916476053
1114,7256.043640002004
18346,-3969.094843095434
5306,-11527.843460620636
3425,-10520.401418217014
14741,-4524.784644172865
9966,4610.0816799410095
13684,906.2032732222688
9537,-11768.04755533268
2117,-10548.231516401112
8083,-2919.3340720106144
10071,14718.137860674346
15690,-15691.54928601444
17727,8209.228039713405
3125,819.0366895566158
12930,10290.544799076408
2624,5694.914650044732
9329,-7983.232446674541
3545,-15044.574479832343
16153,-7505.945929996607
18641,-6172.632206168757
15354,789.2739913038149
3050,6109.740384320796
6746,10263.866329476743
5456,-1233.0882910793534
3651,-3039.632006578202
1182,20259.360451947676
17470,-9113.477333638479
2512,-6003.078420606842
7015,-4691.310344188554
15694,-1724.7846441728652
18008,-5520.733831504829
7203,7335.389853638069
6660,2888.794558616408
6114,4747.239940228763
11325,3280.310547716337
9731,-21411.08679750016
16016,5158.261867859868
2814,-869.131070586358
8413,2066.02388775738
1527,-5828.925980902103
10933,9649.469419167315
1664,-6357.835257250354
7975,-15318.486096672097
2856,-6393.907367524975
3268,-5417.009674188572
5071,-2229.0336309045306
7897,6341.3766548434
14779,-4345.0182051884585
8620,17778.865661994947
15932,3779.433166291452
17060,-6927.266225391115
18938,19788.304444339996
14441,5002.2097688794665
17058,-10667.395872613368
17552,-328.76653559591887
14601,4149.333200118599
17724,-12055.59529100091
6151,-175.15546652160992
12059,-19072.13451575661
4488,10230.979651412239
1034,1954.835658231299
3350,-15499.420363175166
8254,-2760.1881538360294
13562,7681.487487672987
5474,14976.959302942108
13588,7068.067248404054
12691,-2486.7846441728652
10062,-7613.04755533268
6137,-16028.039388840574
10803,-7029.842113555813
16750,8077.718437457137
3165,-4074.3630962166353
17213,-12604.020711917961
12016,-2890.8359367986686
5888,-18255.693757872876
14272,2528.6848906454434
13498,-7758.731161617402
15184,-7695.562059044529
10404,8280.37427899819
18551,4016.718437457137
8585,-15637.805992007568
15108,-3380.4334499634024
19072,-8837.958336816815
11121,-15939.683205355785
2301,-485.0348311503667
1144,-13047.7257113612
1959,-6052.929941777878
19212,-998.2187967599266
15939,-11369.514966918745
4505,-7472.910139391119
4286,6975.667624789097
8860,12150.233283201826
18860,-8733.867910583649
2247,-7472.3156937108
1510,13182.326370286886
2145,-15545.557839635781
9924,-819.7402649516989
2781,4633.968059056497
14391,11069.718437457137
14634,14469.178328715945
57,-15309.137164986903
10907,8031.965961326372
466,-3746.266225391115
9451,10606.79685477798
7886,-1381.1156473769515
8715,-5221.034893862819
4304,-11043.063609775818
18234,-4876.223786378215
6126,-11532.835257250354
9263,1186.12352004477
1396,-12356.25533408452
4462,12174.894267699303
103,-9240.016961564419
17626,-1775.981139888836
9347,-32171.76289822423
11187,6357.502498702914
12536,-4079.336682911686
12825,-815.4335112817789
15811,-2844.958180193011
8187,-3212.4639197256547
42,-12234.29452179357
8482,-7559.154541708223
8614,6246.596682327934
17382,-6288.547952245743
13693,219.24809742183743
9532,608.9270109678655
18584,6985.5867518730465
14792,-1902.9032226779063
12489,9899.839872677243
2622,-7336.146998683314
10083,-23446.073113309307
16842,7047.009888453206
5568,9445.29443838549
2319,-22909.07302011444
5671,5925.941180681064
4518,-1743.5777694884055
16571,1670.629082363383
346,-18748.64625718076
13390,10196.09445267004
17093,-2550.2832593425783
6434,-5700.0182051884585
8062,13612.515186784989
12148,-9772.637251219126
13988,-7578.211737947098
17011,4519.929642517626
8642,-3100.174458627762
6956,-4640.942548397856
18590,1787.6560089532231
2974,7477.087956443001
17539,-3038.662880696271
16304,8999.265977912903
11342,-214.91657985237907
14560,-7466.043989286489
16966,13870.426741320707
980,-1590.4679213506934
15124,1654.303275292782
8771,13117.853980424465
14717,-6581.647090641563
2361,-13195.978383334354
18553,5462.184455403711
15631,10934.623444705816
13743,20625.150909134052
1911,-6675.849507852909
19186,-1215.910803224103
2699,-5621.35149254405
14669,10820.03623533827
6352,11137.515186784989
9156,10395.606924481504
17910,-2156.0579853340714
14073,-548.7357877896793
7324,-18172.895813070543
14791,8636.163857156658
14745,-3053.4934646737674
10091,-6644.460433708449
1580,9266.186140725855
8056,12752.074019097898
9440,-8962.88606991839
2127,-7482.0182051884585
15053,-4085.245419930361
5980,3229.0436400020044
14417,3571.4814754990657
5116,-18541.097936045117
10834,28723.698224479685
313,24824.349130341376
1153,-23007.63182420187
9754,11594.634202182664
7980,-16394.978383334354
1901,1768.685416232518
4982,4663.934805736644
7914,-304.1627789057602
3616,-11192.314457681987
11840,-15622.137164986903
8324,-9376.845696706005
12976,54059.76879590683
17012,-3122.2324466745413
2554,-5645.692760989337
13766,-2914.1962993882753
2026,-3022.6395480523242
10879,837.7868663029094
5512,-8219.232446674541
17131,-4055.8063310016223
3233,-11702.137164986903
11838,2241.0266080079164
16622,-14147.215412723079
3769,-3293.916579852379
12257,13863.564529762487
6024,-5824.405280755236
9838,-9240.016961564419
5465,-17355.493665664835
12302,19557.87155678877
13952,13490.054070003393
3855,-8864.47691112123
5948,12722.072707376734
12235,-12725.473369379959
7603,16993.61681212106
6682,-13982.557385417429
18079,-16386.534497416214
3919,-6312.958895091222
5617,-8837.40978760527
17088,4655.393766629382
15394,14411.536815292005
17480,34118.67153362179
8485,-8209.967392520415
3207,12758.903126280115
7745,-8534.611055991401
4585,-3888.012479625402
18248,-4410.674005691813
15144,3641.565999453025
16497,-5646.2447531844955
14681,-5444.969723200571
13980,9495.367993421798
5610,-2599.6565918203087
1456,1633.9583018220837
13313,-15759.864169746217
326,6992.557690276386
9972,32717.43135573597
7014,-2156.0579853340714
14628,7127.428337645528
1162,43833.26153085736
9295,-19336.777171812064
6831,11452.496357278262
2189,-14389.905955132264
9698,-27670.771898721185
19207,3603.2153558271348
10175,10616.244784942743
10129,4631.703767401599
8372,1840.2281012788153
7535,-17763.086352318867
17238,-13057.48091610798
2701,-8690.945929996607
9595,-3029.55351868624
16822,-7714.828543172524
15161,8399.512292452418
15058,4009.3937666293823
17846,9259.27148879781
6868,471.6798950314187
11183,-4147.817348263953
2534,26469.584636826363
13434,-4988.126485620245
2767,-1824.588099606397
3059,1230.351781147525
1862,-3983.517023885439
4245,11022.164356640107
15299,-14831.992012332452
1350,-8151.263639355213
7200,2136.310547716337
8037,1939.320857525894
18689,-7312.205552264954
15513,-28832.864523560307
5945,5501.431299983459
16256,-23708.407076326475
15518,-3613.10856025877
5453,-15115.539246439192
4828,-16200.777171812064
7781,-25655.822711389228
7916,-2448.3340720106144
11832,-15637.805992007568
2450,-8534.01458468681
7664,-4488.474419355022
