,0
736,8407.671836227626
8674,-9190.921501521854
5971,39717.4883635517
1957,13253.682550704532
11075,20166.462228632172
6134,15342.146553418137
17847,8195.954324814717
5118,-2141.3232422910496
200,9548.472087648595
2298,-10849.113633156812
18766,-27058.411813714032
18507,-2358.6123767541103
5954,-15873.336142410868
16454,-13850.589090914278
11020,26662.930531385715
8359,-18.257039897347568
14976,-4539.098260107421
3014,4719.015100625516
10978,-21032.43151694192
15571,12484.555307083874
18912,8181.300228231841
16453,1692.1336149842937
17306,2894.23046934964
4577,-10406.715907496178
11153,-5241.715907496178
8165,4051.487388684862
3077,-27046.756774752263
8178,-5010.882315520244
12093,-12465.18253575913
19097,-2645.973146521128
3200,-8315.636711680718
15191,5494.199159497184
7074,-5134.101233048848
115,-5286.9804411742625
484,9621.529923165032
6369,16588.034614645607
18884,4752.69000097545
5207,7363.245690001841
936,-1043.3496316520504
1261,31538.13975031007
17139,-9210.797680370362
8085,-6354.135008761048
12959,-7833.923651541827
1147,7079.345329327192
12268,-997.7004022726323
10049,-2676.130244425087
13190,18020.7224819498
8239,-17550.19411493913
7716,5310.1346250967745
385,-3555.7986904828467
12572,7627.62518004925
5843,8369.58741691701
5734,-12413.61390782029
960,-7575.596397158657
7983,12292.966920112747
1599,9741.939670065884
13846,35075.85802748151
8180,-8765.155232952973
3242,-8115.672530965276
11723,3025.6696122706962
13798,-8398.832439896734
10342,-15866.498523455408
1321,-24454.28298421888
15443,25547.021459817443
6760,8427.46899342622
2495,-21725.22046273173
2393,-15716.336142410868
12454,20370.148703438103
4600,-8947.846681787818
9438,5859.817939770255
8008,16687.682550704532
8440,11682.083999939732
9066,-3467.934079548566
10168,-5595.333362922627
9814,13643.623001616737
5916,-5375.994855359368
18548,-1258.9205116464545
11608,-3008.2453989182686
11662,5409.404393115734
6788,25667.931541498194
16218,-10579.93553419019
6962,-5152.690908238739
13027,16949.614856171673
344,7746.063770431461
13106,-12104.744185611267
11897,-11411.718057516144
9626,-2916.3174492954677
11176,1000.0179291464592
5170,-6759.027228631174
8496,-7685.130908792316
13062,-9190.534611235376
5826,-13080.578246696012
6020,6416.688667662048
13735,-4932.934079548566
14104,-17323.976445966986
3011,1422.6148561716727
17836,5071.665312230754
18890,10430.87984130753
5272,-9320.052703417994
18653,9667.597617697891
4884,15191.950234613596
16978,-2702.7433718907996
8957,39870.663857589134
17403,5532.927815735131
11436,34330.181224579894
5620,-3849.8413158310013
16735,18197.148703438103
1962,-12679.769045403817
11603,-15817.044140499846
13246,163.9891650451791
3999,3964.987636230896
16543,14176.399051904926
11235,-6642.53644652121
17576,-5478.398879022974
16126,17975.38091177502
8103,-6877.831005846891
18716,-4198.642503859815
14838,-10428.665070792887
438,4462.133614984294
14439,-4026.0625498922273
5503,-6920.102864414288
4226,-8999.934079548566
15141,-11524.047269967854
17141,52323.85802748151
18623,23295.9960758986
10369,-14066.538596541179
9675,-18483.182169740398
11149,-3281.1645490029805
7752,1733.4120941316398
17309,4006.222798998174
9027,2334.2813198399963
4037,-7507.202078191767
13254,-16853.976445966986
4387,-6102.846681787818
18424,-10056.93888891991
12815,21906.097715550437
351,-6426.845671675339
6779,-13665.793695064562
14587,-13463.53644652121
9380,-8712.302892670246
2954,-5198.467926814996
8610,-27046.756774752263
11433,3556.763526001425
10084,94.98261014817035
17501,2463.7704574136114
795,-14814.99462864317
341,-1610.6005363924742
16962,-15176.274533558078
18655,6827.081008905243
3649,-6274.766737223563
5817,-3386.3719495945224
3230,-23066.368437183133
4333,-2310.9417871627993
3433,8819.862836852855
18645,3656.6022983820476
11758,86.75024523739194
13857,-1868.3346877692456
16155,2905.4255029887527
10210,-346.3881289231249
4475,-4677.399222169655
6490,-14733.53017413392
14370,20351.727577534868
9680,4525.902830795745
17830,3583.96483011857
5022,-6828.2638331039325
2334,-6664.683530853792
12636,-4688.73283123582
14919,-20917.863351271284
16092,-4658.30594801287
5572,4867.682550704532
18609,1740.864791167738
16427,51135.53956176994
2235,16527.646277076474
14515,-2676.130244425087
11736,20150.153059282442
9072,12325.623316350871
10605,20019.811143928688
1838,-2827.130244425087
14733,-3417.376998383263
12926,-18766.976445966986
16501,-20940.75430999816
10301,0.5303081753718288
210,4579.682550704532
2439,-2998.5483633073964
16858,409.01362910652097
13520,6282.329618660745
878,-17203.87822537734
4193,7294.657981806095
1114,13112.950234613596
18346,577.1498602229694
5306,-1602.9235990444204
3425,-8547.115330519446
14741,-760.735610724063
9966,5894.8984249122805
13684,1646.9963906327393
9537,-5542.715907496178
2117,-14576.01083495482
8083,-3849.8413158310013
10071,8192.532073185004
15690,-10659.697680299287
17727,17221.532073185004
3125,-6068.066689126044
12930,11883.256338515028
2624,5293.805001336415
9329,-8614.909010363861
3545,-14352.802295144438
16153,-981.7836020290379
18641,-1960.3371525233524
15354,4094.2694153586635
3050,-313.16895824614767
6746,5963.964305992275
5456,-8664.299049464302
3651,-2490.982070853541
1182,22883.464378652145
17470,-8516.212984865473
2512,-1371.2201479975956
7015,-6102.717840567555
15694,2039.264389275937
18008,-1607.2694579904928
7203,-603.5161073277632
6660,-2002.4139161921903
6114,-1542.2020781917672
11325,5629.665312230754
9731,-17676.262175490723
16016,4958.222514928478
2814,-4290.3997429889605
8413,1868.0894690844411
1527,-5783.444692916126
10933,14160.595152943788
1664,-6406.846681787818
7975,-13525.476987688387
2856,-3948.6297619002744
3268,-3176.562382101549
5071,-2880.671638499629
7897,7963.107749680161
14779,-4026.0625498922273
8620,39984.32418021508
15932,-392.1643434720718
17060,-782.5133975614663
18938,20890.595152943788
14441,-6335.664756058746
17058,-11692.812366130314
17552,-10540.466916702515
14601,3656.6022983820476
17724,-12118.274533558078
6151,-3841.553676679692
12059,-18004.233048117414
4488,10087.065410012217
1034,-1455.5261395210073
3350,-18286.31168038237
