,0
736,19678.619194686413
8674,-6573.879259613343
5971,29027.36451225169
1957,14982.714851525147
11075,5951.647970342543
6134,7766.749036453664
17847,4902.587321530096
5118,3353.438012931496
200,12951.941572930198
2298,-2448.363694352098
18766,-23202.362474801484
18507,-4300.093436186202
5954,-20580.009655775502
16454,-16543.480415656697
11020,21272.547999596223
8359,5059.159646097571
14976,1848.536607567221
3014,-180.7449086960405
10978,-21650.294616762083
15571,5354.892065600492
18912,6163.738481077366
16453,-4646.410021024756
17306,1061.542990940623
4577,1197.6527556842193
11153,-3051.981950141955
8165,1277.7259543105029
3077,-27143.91544727236
8178,-1285.2589593445882
12093,-9105.240907683503
19097,-25474.290823177435
3200,-9217.348410029896
15191,321.0736145605333
7074,-1182.4991789511405
115,-12739.329582683742
484,3680.5682840053923
6369,14127.218561734073
18884,6487.487873787526
5207,8168.488817171659
936,-4607.015442034695
1261,34081.60815966502
17139,-3888.509018745739
8085,1894.7077962816693
12959,-10768.175149925984
1147,4501.337438331917
12268,-372.91427594656125
10049,-10985.532782105729
13190,14400.857158955652
8239,-16085.329757607542
7716,2683.994559106417
385,1966.4831922422163
12572,3530.9071843679994
5843,3975.789082683157
5734,-17668.230235456955
960,-16026.249868181534
7983,7098.215544947423
1599,6921.384887164924
13846,15177.076905866154
8180,-6237.229679465294
3242,-6492.7515087598
11723,2850.2512512914836
13798,-1544.9525400218554
10342,-16667.41186972987
1321,-25463.6420854507
15443,25610.506325530354
6760,10392.24921397306
2495,-20766.410116717685
2393,-18376.000313676894
12454,19903.185714531224
4600,-6466.320583509747
9438,9641.950454427395
8008,18243.851197929587
8440,9700.509099646471
9066,-8244.047735959757
10168,-4563.208837199025
9814,10808.005908646155
5916,-13071.12851766171
18548,7483.415343168657
11608,-8169.167664094362
11662,4007.703850931488
6788,25170.498998327646
16218,-15875.4618552397
6962,-12102.849226952065
13027,26588.10607536463
344,1663.8511979295872
13106,-8279.34652158292
11897,-12570.511087135877
9626,6357.785140064079
11176,4291.669350116514
5170,-13673.10453955736
8496,3045.2644766201265
13062,-10753.978934917133
5826,-17480.501001672354
6020,2360.8486151732504
13735,549.9736909847707
14104,-14326.044230389409
3011,2844.512719302904
17836,-255.027451550588
18890,14729.69711606158
5272,-20729.422694434412
18653,3738.952264040243
4884,18054.512719302904
16978,630.611962523777
8957,35163.9903442245
17403,7856.865492333658
11436,30288.030011483002
5620,-3693.534129554406
16735,13539.545094618108
1962,-8976.551437003538
11603,-11340.907183459029
13246,-4208.912047287915
3999,-1708.0395869994536
16543,17880.783503572457
11235,-9724.899247565772
17576,-6421.818688948639
16126,26303.48375559924
8103,-12290.81830187235
18716,-8995.814046388958
14838,-7539.567600234412
438,2714.773433013819
14439,-12028.330649883486
5503,-5625.819273035973
4226,-3222.208156828303
15141,-5252.540250744205
17141,53763.68884675624
18623,10846.444028506987
10369,-10479.196946308482
9675,-15686.728867157362
11149,-5688.606298271101
7752,12355.103664294817
17309,11504.16147460742
9027,4877.452773339581
4037,-3130.8322904617526
13254,-12243.56870483281
4387,-4361.308954913635
18424,-7695.704756577965
12815,29858.027399140876
351,-2915.3929161899723
6779,-8438.788263069466
14587,-20027.158656906802
9380,-10621.14531512186
2954,-4790.178505050484
8610,-27143.91544727236
11433,9360.261887419038
10084,-828.8089091000147
17501,2198.444142971188
795,-2822.8670684089884
341,3104.5164092797786
16962,-22659.90579888737
18655,8095.4116531917825
3649,-8181.786242954433
5817,-2849.527242949698
3230,-19104.121911752503
4333,-5397.49935309682
3433,9824.92426612787
18645,1758.7691353172995
11758,-5721.846699102316
